Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Label
uji_1.png,0,0,0,0,0,0,0,0,12,16,20,22,24,26,26,28,30,30,30,32,32,32,32,32,32,32,32,32,32,32,30,30,28,28,26,24,24,21,18,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,19,22,25,27,28,29,31,31,32,33,33,33,33,33,33,33,33,33,33,32,31,30,29,28,26,25,22,19,16,11,0,0,0,0,0,0,0,0,0,0,0,
uji_2.png,0,0,0,0,0,8,14,18,20,22,25,26,28,29,30,30,32,32,32,32,32,32,32,32,32,30,30,29,28,28,25,24,22,19,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,18,21,22,24,26,27,28,29,29,30,31,31,31,31,31,31,31,31,29,29,29,28,27,25,24,22,19,18,13,9,0,0,0,0,0,0,0,0,0,0,0,0,
uji_3.png,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uji_4.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uji_5.png,0,0,0,0,0,0,0,0,3,4,6,8,9,11,13,15,16,18,20,21,23,25,27,28,30,30,30,28,27,25,23,21,20,18,16,15,13,11,9,8,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,7,7,9,9,11,11,13,15,15,17,17,19,21,21,23,23,25,25,27,29,29,31,31,33,35,35,35,0,0,0,0,0,0,0,0,0,0,0,
uji_6.png,0,0,0,0,0,0,0,0,0,0,0,0,12,22,30,35,34,32,29,28,25,23,21,18,17,13,11,8,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,6,8,10,11,13,14,15,17,18,17,17,17,16,16,15,14,14,13,12,11,11,10,9,9,8,7,7,6,5,4,3,3,2,0,0,0,0,0,0,0,0,0,
uji_7.png,0,0,0,0,0,2,3,7,10,12,13,13,19,19,19,20,23,22,22,21,19,18,19,20,13,13,11,8,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,10,17,21,20,19,18,17,16,18,22,24,26,26,18,12,12,12,12,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uji_8.png,0,0,0,2,2,4,8,10,12,13,18,20,19,19,21,23,22,22,20,19,19,20,21,13,12,11,9,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,7,16,21,21,19,18,17,15,18,21,24,27,27,22,12,12,13,13,11,8,6,4,0,0,
uji_9.png,0,0,0,0,0,0,0,0,0,2,3,4,6,10,13,15,16,17,17,28,27,26,25,26,28,30,30,30,29,27,26,25,25,26,28,28,17,18,16,14,11,8,5,4,3,3,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,6,6,9,17,25,28,28,26,26,24,23,22,21,25,27,30,33,36,37,37,27,17,17,17,17,17,14,12,10,8,6,4,0,0,0,0,0,0,0,
uji_10.png,0,0,0,0,0,3,5,7,8,10,12,14,15,17,18,18,17,16,14,12,10,9,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,6,8,8,10,10,12,13,14,16,16,18,18,20,21,21,0,0,0,0,
uji_11.png,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,
uji_12.png,0,0,0,0,0,0,0,0,0,0,7,15,19,22,25,27,29,31,32,34,34,36,36,37,38,38,38,38,38,38,38,38,38,38,37,37,36,36,34,33,32,30,29,27,25,22,19,14,6,0,0,0,0,0,0,0,0,0,0,0,0,10,17,20,23,25,27,29,31,33,33,35,35,37,37,37,37,39,39,39,39,39,39,38,37,37,37,36,35,35,33,31,31,29,27,24,21,17,13,0,
